"","date","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","CISS","ADS"
"1",2007-01-01,1,4,6,1,3,4,3,0,1,1,3,1
"2",2007-01-02,1,4,6,1,3,3,3,0,1,1,3,1
"3",2007-01-03,1,4,6,1,3,4,3,0,1,1,3,1
"4",2007-01-04,1,4,6,1,3,5,3,0,1,1,3,1
"5",2007-01-05,1,4,6,1,3,4,3,0,1,1,3,1
"6",2007-01-06,1,4,6,1,3,4,3,0,1,1,3,1
"7",2007-01-07,1,4,6,1,3,4,3,0,1,1,3,1
"8",2007-01-08,1,4,6,1,3,3,3,0,1,1,3,1
"9",2007-01-09,1,4,6,1,3,4,4,0,1,1,3,1
"10",2007-01-10,1,4,6,1,3,4,3,0,1,1,3,1
"11",2007-01-11,1,4,6,1,3,4,3,0,1,1,3,1
"12",2007-01-12,1,4,6,1,3,3,3,0,1,1,3,3
"13",2007-01-13,1,4,6,1,3,3,3,0,1,1,3,1
"14",2007-01-14,1,4,6,1,3,3,3,0,1,1,3,3
"15",2007-01-15,1,4,6,1,3,4,3,0,1,1,3,1
"16",2007-01-16,1,4,6,1,3,3,3,0,1,1,3,3
"17",2007-01-17,1,4,6,1,3,3,3,0,1,1,3,1
"18",2007-01-18,1,4,6,1,3,4,3,0,1,1,3,1
"19",2007-01-19,1,4,6,1,3,3,3,0,1,1,3,1
"20",2007-01-20,1,4,6,1,3,3,3,0,1,1,3,2
"21",2007-01-21,1,4,6,1,3,3,3,0,1,1,3,2
"22",2007-01-22,1,4,6,1,3,3,3,0,1,1,3,1
"23",2007-01-23,1,4,6,1,3,4,3,0,1,1,3,1
"24",2007-01-24,1,4,6,1,3,4,3,0,1,1,3,2
"25",2007-01-25,1,4,6,1,3,4,3,0,1,1,3,1
"26",2007-01-26,1,4,6,1,3,3,3,0,1,1,3,1
"27",2007-01-27,1,4,6,1,3,3,3,0,1,1,3,1
"28",2007-01-28,1,4,6,1,3,3,3,0,1,1,3,1
"29",2007-01-29,1,4,6,1,3,4,3,0,1,1,3,1
"30",2007-01-30,1,4,6,1,3,4,3,0,1,1,3,3
"31",2007-01-31,1,4,6,1,3,4,3,0,1,1,3,1
"32",2007-02-01,1,4,6,1,3,4,3,0,2,1,3,1
"33",2007-02-02,1,4,6,1,3,4,3,0,1,1,3,1
"34",2007-02-03,1,4,6,1,3,4,3,0,1,1,3,1
"35",2007-02-04,1,4,6,1,3,4,3,0,1,1,3,1
"36",2007-02-05,1,4,6,1,3,4,3,0,1,1,3,1
"37",2007-02-06,1,4,6,1,3,4,3,0,1,1,3,1
"38",2007-02-07,1,4,6,1,3,4,3,0,1,1,3,1
"39",2007-02-08,1,4,6,1,3,4,3,0,1,1,3,2
"40",2007-02-09,1,4,6,1,3,4,3,0,1,1,3,2
"41",2007-02-10,1,4,6,1,3,4,3,0,1,1,3,2
"42",2007-02-11,1,4,6,1,3,4,3,0,1,1,3,1
"43",2007-02-12,1,4,6,1,3,4,3,0,1,1,3,1
"44",2007-02-13,1,4,6,1,3,3,3,0,1,1,3,1
"45",2007-02-14,1,4,6,1,3,3,3,0,1,1,3,1
"46",2007-02-15,1,4,6,1,3,3,3,0,1,1,3,1
"47",2007-02-16,1,4,6,1,3,3,3,0,1,1,3,1
"48",2007-02-17,1,4,6,1,3,3,3,0,1,1,3,1
"49",2007-02-18,1,4,6,1,3,3,3,0,1,1,3,1
"50",2007-02-19,1,4,6,1,3,4,3,0,1,1,3,1
"51",2007-02-20,1,4,6,1,3,4,3,0,1,1,3,1
"52",2007-02-21,1,4,6,1,3,3,3,0,2,1,3,1
"53",2007-02-22,1,4,6,1,3,3,3,0,1,1,3,2
"54",2007-02-23,1,4,6,1,3,3,3,0,1,1,3,2
"55",2007-02-24,1,4,6,1,3,3,3,0,1,1,3,1
"56",2007-02-25,1,4,6,1,3,3,3,0,1,1,3,1
"57",2007-02-26,1,4,6,1,3,3,3,0,1,1,3,3
"58",2007-02-27,1,4,6,1,3,4,3,0,1,1,3,1
"59",2007-02-28,1,4,6,1,3,3,3,0,1,1,3,3
"60",2007-03-01,1,4,6,1,3,3,3,0,1,1,3,3
"61",2007-03-02,1,4,6,1,3,4,3,0,1,1,3,1
"62",2007-03-03,1,4,6,1,3,4,3,0,1,1,3,1
"63",2007-03-04,1,4,6,1,3,4,3,0,1,1,3,1
"64",2007-03-05,1,4,6,1,3,3,3,0,1,1,3,1
"65",2007-03-06,1,4,6,1,3,3,3,0,2,1,3,1
"66",2007-03-07,1,4,6,1,3,3,3,0,1,1,3,2
"67",2007-03-08,1,4,6,1,3,3,3,0,1,1,3,2
"68",2007-03-09,1,4,6,1,3,4,3,0,2,1,3,2
"69",2007-03-10,1,4,6,1,3,4,3,0,2,1,3,1
"70",2007-03-11,1,4,6,1,3,4,3,0,2,1,3,1
"71",2007-03-12,1,4,6,1,3,3,3,0,1,1,3,2
"72",2007-03-13,1,4,6,1,3,3,3,0,1,1,3,2
"73",2007-03-14,1,4,6,1,3,4,3,0,1,1,3,2
"74",2007-03-15,1,4,6,1,3,3,3,0,1,1,3,2
"75",2007-03-16,1,4,6,1,3,3,3,0,1,1,3,2
"76",2007-03-17,1,4,6,1,3,3,3,0,1,1,3,1
"77",2007-03-18,1,4,6,1,3,3,3,0,1,1,3,1
"78",2007-03-19,1,4,6,1,3,3,3,0,2,1,3,1
"79",2007-03-20,1,4,6,1,3,3,3,0,2,1,3,1
"80",2007-03-21,1,4,6,1,3,3,3,0,1,1,3,1
"81",2007-03-22,1,4,6,1,3,3,3,0,2,1,3,1
"82",2007-03-23,1,4,6,2,3,3,3,0,1,1,3,2
"83",2007-03-24,1,4,6,2,3,3,3,0,1,1,3,1
"84",2007-03-25,1,4,6,2,3,3,3,0,1,1,3,1
"85",2007-03-26,1,4,6,1,3,3,3,0,2,1,3,1
"86",2007-03-27,1,4,6,1,3,3,3,0,1,1,3,1
"87",2007-03-28,1,4,6,2,3,3,3,0,1,1,3,1
"88",2007-03-29,1,4,6,2,3,3,3,0,1,1,3,1
"89",2007-03-30,1,4,6,2,3,3,3,0,1,1,3,1
"90",2007-03-31,1,4,6,2,3,3,3,0,1,1,3,1
"91",2007-04-01,1,4,6,1,3,3,3,0,1,2,3,1
"92",2007-04-02,1,4,6,1,3,3,3,0,1,2,3,1
"93",2007-04-03,1,4,6,1,3,3,3,0,1,2,3,1
"94",2007-04-04,1,4,6,1,3,3,3,0,1,2,3,1
"95",2007-04-05,1,4,6,1,3,3,3,0,1,2,3,1
"96",2007-04-06,1,4,6,1,3,3,3,0,1,2,3,1
"97",2007-04-07,1,4,6,1,3,3,3,0,1,2,3,1
"98",2007-04-08,1,4,6,1,3,3,3,0,1,2,3,1
"99",2007-04-09,1,4,6,1,3,3,3,0,1,2,3,1
"100",2007-04-10,1,4,6,1,3,3,3,0,1,2,3,1
"101",2007-04-11,1,4,6,1,3,3,3,0,2,2,3,1
"102",2007-04-12,1,4,6,1,3,3,3,0,1,2,3,1
"103",2007-04-13,1,4,6,1,3,3,3,0,1,2,3,1
"104",2007-04-14,1,4,6,1,3,3,3,0,1,2,3,1
"105",2007-04-15,1,4,6,1,3,3,3,0,1,2,3,1
"106",2007-04-16,1,4,6,1,3,3,3,0,1,2,3,1
"107",2007-04-17,1,4,6,1,3,3,3,0,1,2,3,1
"108",2007-04-18,1,4,6,1,3,3,3,0,1,2,3,1
"109",2007-04-19,1,4,6,1,3,3,3,0,1,2,3,3
"110",2007-04-20,1,4,6,1,3,3,3,0,1,2,3,1
"111",2007-04-21,1,4,6,1,3,3,3,0,1,2,3,1
"112",2007-04-22,1,4,6,1,3,3,3,0,1,2,3,2
"113",2007-04-23,1,4,6,1,3,3,3,0,1,2,3,2
"114",2007-04-24,1,4,6,1,3,3,3,0,1,2,3,2
"115",2007-04-25,1,4,6,1,3,3,3,0,1,2,3,1
"116",2007-04-26,1,4,6,1,3,3,3,0,1,2,3,1
"117",2007-04-27,1,4,6,1,3,3,3,0,1,2,3,1
"118",2007-04-28,1,4,6,1,3,3,3,0,1,2,3,1
"119",2007-04-29,1,4,6,1,3,3,3,0,1,2,3,2
"120",2007-04-30,1,4,6,1,3,3,3,0,1,2,3,1
"121",2007-05-01,1,4,6,1,3,3,3,0,1,2,3,1
"122",2007-05-02,1,4,6,1,3,3,3,0,1,2,3,1
"123",2007-05-03,1,4,6,1,3,3,3,0,1,2,3,3
"124",2007-05-04,1,4,6,1,3,3,3,0,1,2,3,1
"125",2007-05-05,1,4,6,1,3,3,3,0,1,2,3,1
"126",2007-05-06,1,4,6,1,3,3,3,0,1,2,3,2
"127",2007-05-07,1,4,6,1,3,3,3,0,1,2,3,1
"128",2007-05-08,1,4,6,1,3,3,3,0,1,2,3,1
"129",2007-05-09,1,4,6,1,3,3,3,0,1,2,3,1
"130",2007-05-10,1,4,6,1,3,3,3,0,1,2,3,2
"131",2007-05-11,1,4,6,1,3,3,3,0,1,2,3,2
"132",2007-05-12,1,4,6,1,3,3,3,0,1,2,3,2
"133",2007-05-13,1,4,6,1,3,3,3,0,1,2,3,2
"134",2007-05-14,1,4,6,1,3,3,3,0,1,2,3,2
"135",2007-05-15,1,4,6,1,3,3,3,0,2,2,3,2
"136",2007-05-16,1,4,6,2,3,3,3,0,1,2,3,1
"137",2007-05-17,1,4,6,1,3,3,3,0,1,2,3,1
"138",2007-05-18,1,4,6,1,3,3,3,0,1,2,3,1
"139",2007-05-19,1,4,6,1,3,3,3,0,1,2,3,1
"140",2007-05-20,1,4,6,1,3,3,3,0,1,2,3,1
"141",2007-05-21,1,4,6,2,3,3,3,0,1,2,3,1
"142",2007-05-22,1,4,6,1,3,3,3,0,1,2,3,1
"143",2007-05-23,1,4,6,1,3,3,3,0,1,2,3,1
"144",2007-05-24,1,4,6,1,4,3,3,0,1,2,3,1
"145",2007-05-25,1,4,6,1,4,3,3,0,1,2,3,2
"146",2007-05-26,1,4,6,1,4,3,3,0,1,2,3,1
"147",2007-05-27,1,4,6,1,4,3,3,0,1,2,3,1
"148",2007-05-28,1,4,6,1,3,3,3,0,1,2,3,3
"149",2007-05-29,1,4,6,1,3,3,3,0,1,2,3,1
"150",2007-05-30,1,4,6,2,3,3,3,0,1,2,3,1
"151",2007-05-31,1,4,6,2,3,3,3,0,1,2,3,1
"152",2007-06-01,1,4,6,1,3,3,3,0,2,2,3,1
"153",2007-06-02,1,4,6,1,3,3,3,0,2,2,3,1
"154",2007-06-03,1,4,6,1,3,3,3,0,2,2,3,1
"155",2007-06-04,1,4,6,1,3,3,3,0,1,2,3,1
"156",2007-06-05,1,4,6,1,3,3,3,0,2,2,3,2
"157",2007-06-06,1,4,6,1,3,3,3,0,1,2,3,2
"158",2007-06-07,1,4,6,2,3,3,3,0,1,2,3,1
"159",2007-06-08,1,4,6,1,3,3,3,0,1,2,3,2
"160",2007-06-09,1,4,6,1,3,3,3,0,1,2,3,1
"161",2007-06-10,1,4,6,1,3,3,3,0,1,2,3,1
"162",2007-06-11,1,4,6,1,3,3,3,0,1,2,3,1
"163",2007-06-12,1,4,6,2,3,3,3,0,1,2,3,1
"164",2007-06-13,1,4,6,2,3,3,3,0,1,2,3,1
"165",2007-06-14,1,4,6,2,3,3,3,0,1,2,3,1
"166",2007-06-15,1,4,6,1,3,3,3,0,1,2,3,1
"167",2007-06-16,1,4,6,1,3,3,3,0,1,2,3,1
"168",2007-06-17,1,4,6,1,3,3,3,0,1,2,3,1
"169",2007-06-18,1,4,6,1,3,3,3,0,1,1,3,1
"170",2007-06-19,1,4,6,2,3,3,3,0,2,1,3,1
"171",2007-06-20,1,4,6,1,3,3,3,0,1,1,3,1
"172",2007-06-21,1,4,6,2,3,3,3,0,1,2,3,1
"173",2007-06-22,1,4,6,2,3,3,4,0,1,1,3,1
"174",2007-06-23,1,4,6,2,3,3,4,0,1,1,3,1
"175",2007-06-24,1,4,6,2,3,3,4,0,1,1,3,1
