"","q_n","date","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","CISS","ADS"
"1",85,2007-01-01,1,4,6,1,3,4,4,1,1,1,3,6
"2",85,2007-01-02,1,4,6,1,3,4,4,1,1,1,3,6
"3",85,2007-01-03,1,4,6,1,3,4,3,1,1,1,3,6
"4",85,2007-01-04,1,4,6,1,3,4,3,1,1,1,3,6
"5",85,2007-01-05,1,4,6,1,3,4,4,1,1,1,3,6
"6",85,2007-01-06,1,4,6,1,3,4,4,1,1,1,3,6
"7",85,2007-01-07,1,4,6,1,3,4,4,1,1,1,3,6
"8",85,2007-01-08,1,4,6,1,3,4,4,1,1,1,3,6
"9",85,2007-01-09,1,4,6,1,3,5,4,1,1,1,3,6
"10",85,2007-01-10,1,4,6,1,3,4,4,1,1,1,3,7
"11",85,2007-01-11,1,4,6,1,3,4,4,1,1,1,3,7
"12",85,2007-01-12,1,4,6,1,3,4,3,1,1,1,3,7
"13",85,2007-01-13,1,4,6,1,3,4,3,1,1,1,3,7
"14",85,2007-01-14,1,4,6,1,3,4,3,1,1,1,3,7
"15",85,2007-01-15,1,4,7,1,3,4,4,1,1,1,3,7
"16",85,2007-01-16,1,4,6,1,3,4,3,1,1,1,3,7
"17",85,2007-01-17,1,4,6,1,3,4,3,1,1,1,3,7
"18",85,2007-01-18,1,4,6,1,3,4,3,1,1,1,3,7
"19",85,2007-01-19,1,4,6,1,3,5,4,1,1,1,3,7
"20",85,2007-01-20,1,4,6,1,3,5,4,1,1,1,3,7
"21",85,2007-01-21,1,4,6,1,3,5,4,1,1,1,3,7
"22",85,2007-01-22,1,4,6,1,3,5,4,1,1,1,3,7
"23",85,2007-01-23,1,4,6,1,3,4,3,1,1,1,3,7
"24",85,2007-01-24,1,4,6,1,3,4,3,1,1,1,3,7
"25",85,2007-01-25,1,4,7,1,3,5,4,1,1,1,3,7
"26",85,2007-01-26,1,4,6,1,3,4,4,1,1,1,3,6
"27",85,2007-01-27,1,4,6,1,3,4,4,1,1,1,3,7
"28",85,2007-01-28,1,4,6,1,3,4,4,1,1,1,3,6
"29",85,2007-01-29,1,4,6,2,3,4,4,1,1,1,3,7
"30",85,2007-01-30,1,4,6,3,3,4,4,1,1,1,3,7
"31",85,2007-01-31,1,4,6,3,3,4,4,1,1,1,3,7
"32",85,2007-02-01,1,4,6,2,3,4,4,1,1,1,3,6
"33",85,2007-02-02,1,4,6,3,3,4,4,1,1,1,3,7
"34",85,2007-02-03,1,4,6,3,3,4,4,1,1,1,3,7
"35",85,2007-02-04,1,4,6,3,3,4,4,1,1,1,3,7
"36",85,2007-02-05,1,4,6,2,3,4,4,1,1,1,3,7
"37",85,2007-02-06,1,4,6,2,3,4,4,1,1,1,3,7
"38",85,2007-02-07,1,4,6,3,3,4,4,1,1,1,3,7
"39",85,2007-02-08,1,4,6,3,3,4,4,1,1,1,3,6
"40",85,2007-02-09,1,4,6,3,3,4,4,1,1,1,3,7
"41",85,2007-02-10,1,4,6,3,3,4,4,1,1,1,3,7
"42",85,2007-02-11,1,4,6,3,3,4,4,1,1,1,3,7
"43",85,2007-02-12,1,4,6,3,3,4,3,1,1,1,3,7
"44",85,2007-02-13,1,4,6,3,3,4,3,1,1,1,3,7
"45",85,2007-02-14,1,4,6,3,3,4,3,1,1,1,3,7
"46",85,2007-02-15,1,4,6,2,3,4,3,1,1,1,3,6
"47",85,2007-02-16,1,4,6,2,3,4,3,1,1,1,3,7
"48",85,2007-02-17,1,4,6,2,3,4,3,1,1,1,3,7
"49",85,2007-02-18,1,4,6,2,3,4,3,1,1,1,3,7
"50",85,2007-02-19,1,4,6,2,3,4,3,1,1,1,3,7
"51",85,2007-02-20,1,4,6,2,3,4,3,1,1,1,3,6
"52",85,2007-02-21,1,4,6,3,3,4,3,1,1,1,3,7
"53",85,2007-02-22,1,4,6,3,3,4,3,1,1,1,3,7
"54",85,2007-02-23,1,4,6,3,3,4,3,1,1,1,3,7
"55",85,2007-02-24,1,4,6,3,3,4,3,1,1,1,3,7
"56",85,2007-02-25,1,4,6,3,3,4,3,1,1,1,3,7
"57",85,2007-02-26,1,4,6,3,3,4,3,0,1,1,3,7
"58",85,2007-02-27,1,4,6,3,3,5,3,0,1,1,3,7
"59",85,2007-02-28,1,4,6,3,3,4,3,0,1,1,3,7
"60",85,2007-03-01,1,4,6,2,3,4,3,0,1,1,3,6
"61",85,2007-03-02,1,4,6,2,3,4,3,0,1,1,3,7
"62",85,2007-03-03,1,4,6,2,3,4,3,0,1,1,3,7
"63",85,2007-03-04,1,4,6,2,3,4,3,0,1,1,3,7
"64",85,2007-03-05,1,4,6,2,3,4,4,0,1,1,3,7
"65",85,2007-03-06,1,4,6,2,3,5,3,0,1,1,3,7
"66",85,2007-03-07,1,4,6,2,3,4,3,0,1,1,3,6
"67",85,2007-03-08,1,4,6,2,3,4,3,0,1,1,3,7
"68",85,2007-03-09,1,4,6,2,3,4,3,0,1,1,3,7
"69",85,2007-03-10,1,4,6,2,3,4,3,0,1,1,3,7
"70",85,2007-03-11,1,4,6,2,3,4,3,0,1,1,3,7
"71",85,2007-03-12,1,4,6,3,3,4,3,0,1,1,3,8
"72",85,2007-03-13,1,4,6,3,3,5,3,0,1,1,3,8
"73",85,2007-03-14,1,4,6,3,3,4,3,0,1,1,3,7
"74",85,2007-03-15,1,4,6,3,3,5,3,0,1,1,3,7
"75",85,2007-03-16,1,4,6,2,3,4,3,0,1,1,3,7
"76",85,2007-03-17,1,4,6,2,3,4,3,0,1,1,3,7
"77",85,2007-03-18,1,4,6,2,3,4,3,0,1,1,3,7
"78",85,2007-03-19,1,4,6,2,3,4,3,0,1,1,3,7
"79",85,2007-03-20,1,4,6,3,3,4,3,0,1,1,3,7
"80",85,2007-03-21,1,4,6,2,3,4,3,0,1,1,3,7
"81",85,2007-03-22,1,4,6,2,3,4,3,0,1,1,3,7
"82",85,2007-03-23,1,4,6,3,3,4,3,0,2,1,3,7
"83",85,2007-03-24,1,4,6,3,3,4,3,0,2,1,3,7
"84",85,2007-03-25,1,4,6,3,3,4,3,0,2,1,3,8
"85",85,2007-03-26,1,4,6,2,3,5,3,0,1,1,3,8
"86",85,2007-03-27,1,4,6,3,3,5,3,0,1,1,3,8
"87",85,2007-03-28,1,4,6,3,3,4,3,0,5,1,3,7
"88",85,2007-03-29,1,4,6,2,3,4,3,0,3,1,3,7
"89",85,2007-03-30,1,4,6,2,3,4,3,0,3,1,3,8
"90",85,2007-03-31,1,4,6,2,3,4,3,0,3,1,3,8
"91",86,2007-04-01,1,4,6,1,3,4,4,1,1,1,3,6
"92",86,2007-04-02,1,4,6,1,3,4,4,1,1,1,3,6
"93",86,2007-04-03,1,4,6,1,3,4,4,1,1,1,3,6
"94",86,2007-04-04,1,4,6,1,3,5,4,1,1,1,3,7
"95",86,2007-04-05,1,4,6,1,3,4,4,1,1,1,3,6
"96",86,2007-04-06,1,4,6,1,3,4,4,1,1,1,3,6
"97",86,2007-04-07,1,4,6,1,3,4,4,1,1,1,3,6
"98",86,2007-04-08,1,4,6,1,3,4,4,1,1,1,3,6
"99",86,2007-04-09,1,4,6,1,3,4,4,1,1,1,3,6
"100",86,2007-04-10,1,4,6,1,3,4,4,1,1,1,3,6
"101",86,2007-04-11,1,4,6,1,3,4,4,1,1,1,3,7
"102",86,2007-04-12,1,4,6,1,3,4,4,1,1,1,3,7
"103",86,2007-04-13,1,4,6,1,3,4,4,1,1,1,3,7
"104",86,2007-04-14,1,4,6,1,3,4,4,1,1,1,3,7
